Event,min,max,Range,Formatted_Min,Formatted_Max,Formatted_Range
100 BK SCY,48.1,132.4,84.30000000000001,0:48.10,2:12.40,1:24.30
100 BR SCY,56.67,161.6,104.92999999999999,0:56.67,2:41.60,1:44.93
100 FL SCY,47.42,131.3,83.88000000000001,0:47.42,2:11.30,1:23.88
100 FR SCY,44.83,143.9,99.07000000000001,0:44.83,2:23.90,1:39.07
100 IM SCY,52.09,155.9,103.81,0:52.09,2:35.90,1:43.81
1000 FR SCY,539.7,821.6,281.9,8:59.70,13:41.60,4:41.90
1650 FR SCY,901.4,1681.6,780.1999999999999,15:01.40,28:01.60,13:00.20
200 BK SCY,107.2,182.7,75.49999999999999,1:47.20,3:02.70,1:15.50
200 BR SCY,122.1,220.4,98.30000000000001,2:02.10,3:40.40,1:38.30
200 FL SCY,108.3,206.3,98.00000000000001,1:48.30,3:26.30,1:38.00
200 FR SCY,99.34,233.5,134.16,1:39.34,3:53.50,2:14.16
200 IM SCY,109.2,261.1,151.90000000000003,1:49.20,4:21.10,2:31.90
400 IM SCY,236.0,421.9,185.89999999999998,3:56.00,7:01.90,3:05.90
50 FR SCY,20.37,78.4,58.03,0:20.37,1:18.40,0:58.03
500 FR SCY,264.1,552.7,288.6,4:24.10,9:12.70,4:48.60
